escenario,seed,latencia_s,gps_s,dist_m,viaje_s,detenida_s,paradas,amb_teleports
sin_preempcion,1,0.02,1.0,150.0,371.0,28.5,9,0
5G_20ms,1,0.02,1.0,300.0,350.8,10.5,4,0
degradada_10s,1,10.0,1.0,300.0,355.9,7.4,7,0
degradada_30s,1,30.0,1.0,300.0,374.1,27.4,7,1
sin_preempcion,2,0.02,1.0,150.0,342.4,11.9,4,0
5G_20ms,2,0.02,1.0,300.0,312.3,0.0,0,0
degradada_10s,2,10.0,1.0,300.0,332.7,7.4,2,0
degradada_30s,2,30.0,1.0,300.0,318.3,4.6,3,1
sin_preempcion,3,0.02,1.0,150.0,328.5,11.9,3,0
5G_20ms,3,0.02,1.0,300.0,332.3,26.7,1,0
degradada_10s,3,10.0,1.0,300.0,306.4,0.0,0,0
degradada_30s,3,30.0,1.0,300.0,346.2,27.9,4,0
sin_preempcion,4,0.02,1.0,150.0,380.1,55.4,4,1
5G_20ms,4,0.02,1.0,300.0,382.3,60.4,4,0
degradada_10s,4,10.0,1.0,300.0,355.3,38.0,3,0
degradada_30s,4,30.0,1.0,300.0,390.2,49.7,5,0
sin_preempcion,5,0.02,1.0,150.0,342.7,30.9,5,0
5G_20ms,5,0.02,1.0,300.0,117.1,0.0,0,1
degradada_10s,5,10.0,1.0,300.0,334.6,33.9,4,0
degradada_30s,5,30.0,1.0,300.0,368.7,44.4,5,0
sin_preempcion,6,0.02,1.0,150.0,343.7,39.3,3,0
5G_20ms,6,0.02,1.0,300.0,330.8,38.7,2,0
degradada_10s,6,10.0,1.0,300.0,350.4,43.9,3,0
degradada_30s,6,30.0,1.0,300.0,334.5,27.1,4,0
sin_preempcion,7,0.02,1.0,150.0,305.2,17.1,3,0
5G_20ms,7,0.02,1.0,300.0,308.8,36.5,2,0
degradada_10s,7,10.0,1.0,300.0,310.8,32.5,2,0
degradada_30s,7,30.0,1.0,300.0,308.7,21.2,3,0
sin_preempcion,8,0.02,1.0,150.0,329.0,20.7,4,0
5G_20ms,8,0.02,1.0,300.0,336.1,42.5,4,0
degradada_10s,8,10.0,1.0,300.0,325.2,30.2,2,0
degradada_30s,8,30.0,1.0,300.0,382.3,58.9,6,0
